match_date,surface,best_of,winner,loser,wsets,lsets
2000-01-03,Hard,3,Dosedel S.,Ljubicic I.,2,0
2000-01-03,Hard,3,Enqvist T.,Clement A.,2,0
2000-01-03,Hard,3,Escude N.,Baccanello P.,2,1
2000-01-03,Hard,3,Federer R.,Knippschild J.,2,0
2000-01-03,Hard,3,Fromberg R.,Woodbridge T.,2,1
2000-01-03,Hard,3,Gambill J.M.,Arthurs W.,2,1
2000-01-03,Hard,3,Grosjean S.,Ilie A.,2,0
2000-01-03,Hard,3,Henman T.,Balcells J.,2,0
2000-01-03,Hard,3,Hewitt L.,Woodforde M.,2,1
2000-01-03,Hard,3,Lisnard J.,Tebbutt M.,2,1
2000-01-03,Hard,3,Martin A.,Spadea V.,2,0
2000-01-03,Hard,3,Norman M.,Draper S.,2,0
2000-01-03,Hard,3,Petrovic D.,Huet S.,2,1
2000-01-03,Hard,3,Sekulov J.,Pozzi G.,2,1
2000-01-03,Hard,3,Stoltenberg J.,Hrbaty D.,2,0
2000-01-03,Hard,3,Vinck C.,Goldstein P.,2,1
2000-01-03,Hard,3,Enqvist T.,Federer R.,2,0
2000-01-03,Hard,3,Escude N.,Dosedel S.,2,0
2000-01-03,Hard,3,Grosjean S.,Gambill J.M.,2,1
2000-01-03,Hard,3,Henman T.,Lisnard J.,2,1
2000-01-03,Hard,3,Hewitt L.,Petrovic D.,2,0
2000-01-03,Hard,3,Martin A.,Sekulov J.,2,0
2000-01-03,Hard,3,Norman M.,Fromberg R.,2,0
2000-01-03,Hard,3,Stoltenberg J.,Vinck C.,2,1
2000-01-03,Hard,3,Enqvist T.,Grosjean S.,2,0
2000-01-03,Hard,3,Escude N.,Henman T.,2,0
2000-01-03,Hard,3,Hewitt L.,Stoltenberg J.,2,0
2000-01-03,Hard,3,Norman M.,Martin A.,2,0
2000-01-03,Hard,3,Enqvist T.,Norman M.,2,1
2000-01-03,Hard,3,Hewitt L.,Escude N.,2,1
2000-01-03,Hard,3,Hewitt L.,Enqvist T.,2,1
2000-01-03,Hard,3,Agenor R.,Kumar S.,2,0
2000-01-03,Hard,3,Behrend T.,Popp A.,2,1
2000-01-03,Hard,3,Damm M.,Rochus C.,2,0
2000-01-03,Hard,3,Delgado J.,Black B.,2,0
2000-01-03,Hard,3,Golmard J.,Spottl M.,2,0
2000-01-03,Hard,3,Hantschk M.,Tieleman L.,2,0
2000-01-03,Hard,3,Jonsson F.,Kroslak J.,2,0
2000-01-03,Hard,3,Ketola T.,Ogorodov O.,2,1
2000-01-03,Hard,3,Manta L.,Zib T.,2,0
2000-01-03,Hard,3,Paes L.,Boutter J.,2,0
2000-01-03,Hard,3,Pioline C.,Ram A.,2,0
2000-01-03,Hard,3,Sanguinetti D.,Voinea A.,2,0
2000-01-03,Hard,3,Stanoytchev O.,Kilderry P.,2,0
2000-01-03,Hard,3,Tabara M.,Kafelnikov Y.,2,0
2000-01-03,Hard,3,Vanek J.,Ishii Y.,2,0
2000-01-03,Hard,3,Vinciguerra A.,Lopez-Moron A.,2,0
2000-01-03,Hard,3,Damm M.,Agenor R.,2,1
2000-01-03,Hard,3,Delgado J.,Stanoytchev O.,2,1
2000-01-03,Hard,3,Golmard J.,Jonsson F.,2,0
2000-01-03,Hard,3,Hantschk M.,Behrend T.,2,1
2000-01-03,Hard,3,Ketola T.,Vanek J.,2,1
2000-01-03,Hard,3,Manta L.,Tabara M.,2,0
2000-01-03,Hard,3,Pioline C.,Paes L.,2,0
2000-01-03,Hard,3,Sanguinetti D.,Vinciguerra A.,2,1
2000-01-03,Hard,3,Damm M.,Manta L.,2,0
2000-01-03,Hard,3,Golmard J.,Delgado J.,2,0
2000-01-03,Hard,3,Hantschk M.,Ketola T.,2,1
2000-01-03,Hard,3,Pioline C.,Sanguinetti D.,2,1
2000-01-03,Hard,3,Golmard J.,Damm M.,2,1
2000-01-03,Hard,3,Hantschk M.,Pioline C.,2,1
2000-01-03,Hard,3,Golmard J.,Hantschk M.,2,1
2000-01-03,Hard,3,Bastl G.,Novak J.,2,0
2000-01-03,Hard,3,Berasategui A.,Al-Alawi S.K.,2,0
2000-01-03,Hard,3,Caratti C.,Heuberger I.,2,1
2000-01-03,Hard,3,Cherkasov A.,Arazi H.,2,0
2000-01-03,Hard,3,El Aynaoui Y.,Dupuis A.,2,1
2000-01-03,Hard,3,Gaudio G.,Luxa P.,2,1
2000-01-03,Hard,3,Kiefer N.,Tarango J.,2,0
2000-01-03,Hard,3,Marin J.A.,Mantilla F.,1,0
2000-01-03,Hard,3,Mirnyi M.,Puerta M.,2,0
2000-01-03,Hard,3,Santoro F.,Burgsmuller L.,2,0
2000-01-03,Hard,3,Schalken S.,Diaz J.,2,0
2000-01-03,Hard,3,Schuettler R.,Sanchez J.,2,0
2000-01-03,Hard,3,Squillari F.,Siemerink J.,2,0
2000-01-03,Hard,3,Tillstrom M.,Ivanisevic G.,2,0
2000-01-03,Hard,3,Vacek D.,Vicente F.,2,1
2000-01-03,Hard,3,van Lottum J.,Blanco G.,1,0
2000-01-03,Hard,3,Bastl G.,Berasategui A.,2,0
