Player_1,Player_2,Winner,Surface
Stoltenberg J.,Lopez-Moron A.,Stoltenberg J.,Hard
King P.,Agenor R.,Agenor R.,Hard
Paes L.,Vinciguerra A.,Vinciguerra A.,Hard
El Aynaoui Y.,Kuerten G.,Kuerten G.,Hard
Rios M.,Balcells J.,Rios M.,Hard
Mantilla F.,Marin J.A.,Marin J.A.,Hard
Federer R.,Enqvist T.,Enqvist T.,Hard
Berasategui A.,Vicente F.,Berasategui A.,Hard
Medvedev A.,Humphries S.,Medvedev A.,Hard
Puerta M.,Gaudio G.,Puerta M.,Hard
Puerta M.,Coutelot N.,Puerta M.,Hard
Etlis G.,Gonzalez P.,Etlis G.,Hard
Rios M.,Ferrero J.C.,Ferrero J.C.,Hard
Pavel A.,Portas A.,Portas A.,Hard
Pioline C.,Larsson M.,Pioline C.,Hard
Puerta M.,Mirnyi M.,Mirnyi M.,Hard
Medvedev A.,Schuettler R.,Medvedev A.,Hard
Garcia M.,Bastl G.,Bastl G.,Hard
Enqvist T.,Bastl G.,Enqvist T.,Hard
Gaudio G.,di Pasquale A.,Gaudio G.,Hard
Vacek D.,Johansson T.,Vacek D.,Hard
Schalken S.,Puerta M.,Puerta M.,Hard
Gaudio G.,Meligeni F.,Gaudio G.,Hard
Henman T.,Grosjean S.,Henman T.,Hard
Goldstein P.,Reneberg R.,Reneberg R.,Hard
Chang M.,Voinea A.,Chang M.,Hard
Alami K.,Manta L.,Alami K.,Hard
Philippoussis M.,Kuerten G.,Kuerten G.,Hard
Vicente F.,Grosjean S.,Vicente F.,Hard
Larsson M.,Federer R.,Larsson M.,Hard
Dosedel S.,Ilie A.,Dosedel S.,Hard
Sanguinetti D.,Gaudio G.,Sanguinetti D.,Hard
Courier J.,Goldstein P.,Courier J.,Hard
Schuettler R.,Larsson M.,Larsson M.,Hard
Kiefer N.,Golmard J.,Kiefer N.,Hard
Novak J.,Dosedel S.,Novak J.,Hard
Ferrero J.C.,El Aynaoui Y.,El Aynaoui Y.,Hard
Safin M.,Rios M.,Safin M.,Hard
Hantschk M.,Stanoytchev O.,Hantschk M.,Hard
Philippoussis M.,Arazi H.,Philippoussis M.,Hard
El Aynaoui Y.,di Pasquale A.,El Aynaoui Y.,Hard
Grosjean S.,Bastl G.,Grosjean S.,Hard
Sekulov J.,Levy H.,Levy H.,Hard
Alami K.,Charpentier M.,Charpentier M.,Hard
Kafelnikov Y.,Hewitt L.,Hewitt L.,Hard
Vanek J.,Squillari F.,Squillari F.,Hard
Damm M.,Vinciguerra A.,Vinciguerra A.,Hard
Kafelnikov Y.,Escude N.,Kafelnikov Y.,Hard
Golmard J.,Goellner M.K.,Golmard J.,Hard
Ketola T.,Hantschk M.,Hantschk M.,Hard
Agassi A.,Dupuis A.,Agassi A.,Hard
Rios M.,Henman T.,Henman T.,Hard
Koubek S.,Stafford G.,Koubek S.,Hard
Ferreira W.,Kuerten G.,Kuerten G.,Hard
Ferrero J.C.,Squillari F.,Ferrero J.C.,Hard
Clavet F.,El Aynaoui Y.,El Aynaoui Y.,Hard
Stoltenberg J.,Lapentti N.,Stoltenberg J.,Hard
Gaudio G.,Enqvist T.,Enqvist T.,Hard
Corretja A.,Ferrero J.C.,Ferrero J.C.,Hard
Rodriguez M.,Gimelstob J.,Rodriguez M.,Hard
Jensen L.,Mamiit C.,Mamiit C.,Hard
El Aynaoui Y.,Portas A.,El Aynaoui Y.,Hard
Lapentti N.,Ferrero J.C.,Lapentti N.,Hard
Hrbaty D.,Tarango J.,Hrbaty D.,Hard
Koubek S.,Blanco G.,Koubek S.,Hard
Prinosil D.,Haas T.,Haas T.,Hard
Norman M.,Mantilla F.,Norman M.,Hard
Woodforde M.,Humphries S.,Woodforde M.,Hard
Johansson T.,Ferreira W.,Ferreira W.,Hard
Zabaleta M.,Rusedski G.,Rusedski G.,Hard
Kulti N.,Kafelnikov Y.,Kafelnikov Y.,Hard
Courier J.,Enqvist T.,Enqvist T.,Hard
Gaudio G.,Corretja A.,Gaudio G.,Hard
Fromberg R.,Tarango J.,Fromberg R.,Hard
Gambill J.M.,Stanoytchev O.,Gambill J.M.,Hard
Martin A.,Grosjean S.,Martin A.,Hard
Fromberg R.,Kiefer N.,Fromberg R.,Hard
Stanoytchev O.,Delgado J.,Delgado J.,Hard
Parmar A.,Draper S.,Parmar A.,Hard
Lapentti N.,Bjorkman J.,Lapentti N.,Hard
Hantschk M.,Hadad M.,Hantschk M.,Hard
Safin M.,Ilie A.,Safin M.,Hard
Rafter P.,Krajicek R.,Krajicek R.,Hard
Pioline C.,Safin M.,Safin M.,Hard
Lapentti N.,Clavet F.,Clavet F.,Hard
Vanek J.,Gimelstob J.,Vanek J.,Hard
Hipfl M.,Rafter P.,Rafter P.,Hard
Pozzi G.,Novak J.,Pozzi G.,Hard
Popp A.,Behrend T.,Behrend T.,Hard
Woodbridge T.,Woodruff C.,Woodruff C.,Hard
Enqvist T.,Rosset M.,Rosset M.,Hard
Ilie A.,Pavel A.,Pavel A.,Hard
Escude N.,Prinosil D.,Escude N.,Hard
Portas A.,Gaudenzi A.,Portas A.,Hard
Ferrero J.C.,Alami K.,Ferrero J.C.,Hard
Larsson M.,Arthurs W.,Larsson M.,Hard
Pavel A.,Gambill J.M.,Pavel A.,Hard
Santoro F.,Kafelnikov Y.,Kafelnikov Y.,Hard
Prinosil D.,Ljubicic I.,Prinosil D.,Hard
Henman T.,Woodruff C.,Woodruff C.,Hard
Escude N.,Dosedel S.,Escude N.,Hard
Gumy H.,Vacek D.,Gumy H.,Hard
Marin J.A.,Haas T.,Haas T.,Hard
El Aynaoui Y.,Huet S.,El Aynaoui Y.,Hard
Kuerten G.,Ferrero J.C.,Kuerten G.,Hard
Ruud C.,Portas A.,Portas A.,Hard
Vicente F.,Puerta M.,Puerta M.,Hard
Gumy H.,Moya C.,Gumy H.,Hard
Marin J.A.,Chela J.I.,Chela J.I.,Hard
Philippoussis M.,Arthurs W.,Philippoussis M.,Hard
Tieleman L.,Massu N.,Massu N.,Hard
El Aynaoui Y.,Ilie A.,El Aynaoui Y.,Hard
Bruguera S.,Tarango J.,Tarango J.,Hard
Bjorkman J.,Dupuis A.,Bjorkman J.,Hard
Rochus C.,Damm M.,Damm M.,Hard
Philippoussis M.,Tillstrom M.,Philippoussis M.,Hard
Sampras P.,Ferreira W.,Sampras P.,Hard
Chela J.I.,Hantschk M.,Chela J.I.,Hard
Federer R.,Ivanisevic G.,Federer R.,Hard
Nalbandian D.,Squillari F.,Squillari F.,Hard
Ruud C.,Koubek S.,Koubek S.,Hard
Arazi H.,Schalken S.,Arazi H.,Hard
Behrend T.,Vinck C.,Vinck C.,Hard
Blanco G.,Fish M.,Fish M.,Hard
Meligeni F.,Squillari F.,Squillari F.,Hard
Medvedev A.,Vicente F.,Medvedev A.,Hard
Burgsmuller L.,Santoro F.,Santoro F.,Hard
Norman M.,Chang M.,Norman M.,Hard
Schalken S.,Diaz J.,Schalken S.,Hard
Vicente F.,Arazi H.,Arazi H.,Hard
Blanco G.,Portas A.,Portas A.,Hard
Clement A.,Pretzsch A.,Clement A.,Hard
Krajicek R.,Kiefer N.,Krajicek R.,Hard
Gambill J.M.,Fromberg R.,Gambill J.M.,Hard
Rodriguez M.,Marin J.A.,Rodriguez M.,Hard
Pioline C.,Voinea A.,Pioline C.,Hard
Squillari F.,Hrbaty D.,Hrbaty D.,Hard
Sargsian S.,van Lottum J.,Sargsian S.,Hard
Etlis G.,Massu N.,Massu N.,Hard
Larsson M.,Ferreira W.,Ferreira W.,Hard
Johansson T.,Bastl G.,Johansson T.,Hard
Kafelnikov Y.,Chela J.I.,Chela J.I.,Hard
Rodriguez M.,Manta L.,Rodriguez M.,Hard
Hewitt L.,Ferrero J.C.,Hewitt L.,Hard
Tarango J.,Philippoussis M.,Tarango J.,Hard
Fromberg R.,Sa A.,Fromberg R.,Hard
Rochus C.,Medvedev A.,Medvedev A.,Hard
Arazi H.,Haas T.,Arazi H.,Hard
Arazi H.,Vicente F.,Vicente F.,Hard
Calleri A.,Kuerten G.,Kuerten G.,Hard
Ruud C.,Ferreira W.,Ruud C.,Hard
Hrbaty D.,Bjorkman J.,Hrbaty D.,Hard
Ulihrach B.,Rafter P.,Ulihrach B.,Hard
Malisse X.,Delgado R.,Delgado R.,Hard
Stoltenberg J.,Massu N.,Stoltenberg J.,Hard
Corretja A.,Sargsian S.,Corretja A.,Hard
Llodra M.,Gaudio G.,Llodra M.,Hard
Schuettler R.,Norman M.,Norman M.,Hard
Rosset M.,Arazi H.,Rosset M.,Hard
Ivanisevic G.,Black W.,Ivanisevic G.,Hard
Kroslak J.,Lopez-Moron A.,Kroslak J.,Hard
Haas T.,Black B.,Black B.,Hard
Browne F.,Haas T.,Haas T.,Hard
Lapentti N.,Ulihrach B.,Lapentti N.,Hard
Woodruff C.,Sampras P.,Sampras P.,Hard
Sargsian S.,Costa A.,Sargsian S.,Hard
Knippschild J.,Marin J.A.,Marin J.A.,Hard
di Pasquale A.,Pavel A.,Pavel A.,Hard
