Player,Player_1,Player_2,Winner,Surface
Albot R.,Monteiro T.,Paire B.,Paire B.,Hard
Altmaier D.,Seyboth Wild T.,Giannessi A.,Giannessi A.,Clay
Anderson K.,Herbert P.H.,Thiem D.,Herbert P.H.,Hard
Andreev A.,Ivashka I.,Carreno Busta P.,Carreno Busta P.,Hard
Andreozzi G.,Gulbis E.,Sousa P.,Gulbis E.,Hard
Andujar P.,Haase R.,Garcia-Lopez G.,Haase R.,Hard
Aragone JC,Tiafoe F.,Nadal R.,Nadal R.,Hard
Arevalo M.,Krajinovic F.,Donskoy E.,Krajinovic F.,Hard
Arguello F.,Pouille L.,Djokovic N.,Djokovic N.,Hard
Arnaboldi A.,Tsitsipas S.,Nadal R.,Nadal R.,Hard
Auger-Aliassime F.,Tsitsipas S.,Seppi A.,Seppi A.,Hard
Avidzba A.,Kohlschreiber P.,Li Z.,Kohlschreiber P.,Hard
Bachinger M.,Garcia-Lopez G.,Schwartzman D.,Schwartzman D.,Hard
Baghdatis M.,Kohlschreiber P.,Fognini F.,Kohlschreiber P.,Hard
Bagnis F.,Mayer L.,Jarry N.,Mayer L.,Hard
Bai Y.,Cachin P.,Londero J.I.,Londero J.I.,Clay
Balazs A.,Fabbiano T.,Kubler J.,Fabbiano T.,Hard
Baldi F.,Carreno Busta P.,Fognini F.,Carreno Busta P.,Hard
Barrere G.,Seppi A.,Klizan M.,Seppi A.,Hard
Basic M.,Khachanov K.,Nishioka Y.,Khachanov K.,Hard
Basilashvili N.,Thompson J.,De Minaur A.,De Minaur A.,Hard
Basso A.,Raonic M.,Herbert P.H.,Raonic M.,Hard
Bautista Agut R.,Nishikori K.,Kudla D.,Nishikori K.,Hard
Bedene A.,Fritz T.,Isner J.,Fritz T.,Hard
Bemelmans R.,Sousa J.,Kohlschreiber P.,Sousa J.,Hard
Benchetrit E.,Struff J.L.,Ebden M.,Ebden M.,Hard
Berankis R.,Nishikori K.,Dimitrov G.,Nishikori K.,Hard
Berdych T.,Murray A.,Medvedev D.,Medvedev D.,Hard
Berlocq C.,Nishikori K.,Karlovic I.,Nishikori K.,Hard
Berrettini M.,Berdych T.,Verdasco F.,Berdych T.,Hard
Berrettini M. ,Schwartzman D.,Kudla D.,Schwartzman D.,Hard
Bolelli S.,Cecchinato M.,Stakhovsky S.,Cecchinato M.,Hard
Bolt A.,Klahn B.,Kohlschreiber P.,Kohlschreiber P.,Hard
Brands D.,Norrie C.,Fritz T.,Norrie C.,Hard
Brooksby J.,Bedene A.,Zverev A.,Zverev A.,Hard
Brown D.,Monfils G.,Dzumhur D.,Monfils G.,Hard
Bublik A.,Lajovic D.,Cuevas P.,Cuevas P.,Hard
Cachin P.,Cecchinato M.,Sandgren T.,Sandgren T.,Hard
Carballes Baena R.,Gojowczyk P.,Fognini F.,Fognini F.,Hard
Carreno Busta P.,Darcis S.,Carballes Baena R.,Darcis S.,Hard
Caruso S.,Lopez F.,Thompson J.,Thompson J.,Hard
Catarina L.,Medvedev D.,Goffin D.,Medvedev D.,Hard
Cecchinato M.,De Minaur A.,Tsonga J.W.,Tsonga J.W.,Hard
Celikbilek A.,Delbonis F.,Millman J.,Millman J.,Hard
Cerundolo F.,Goffin D.,Copil M.,Goffin D.,Hard
Chardy J.,Struff J.L.,Chardy J.,Chardy J.,Hard
Chung H.,Copil M.,Fritz T.,Fritz T.,Hard
Cilic M.,Paire B.,Simon G.,Simon G.,Hard
Clarke J.,Tomic B.,Cilic M.,Cilic M.,Hard
Copil M.,Johnson S.,Mayer L.,Mayer L.,Hard
Coppejans K.,Dimitrov G.,Tiafoe F.,Tiafoe F.,Hard
Coric B.,Anderson K.,Karlovic I.,Anderson K.,Hard
Cuevas P.,Kadhe A.,Djere L.,Djere L.,Hard
Daniel T.,Berrettini M.,Mcdonald M.,Berrettini M.,Hard
Darcis S.,Kohlschreiber P.,Berdych T.,Berdych T.,Hard
Davidovich Fokina A.,Evans D.,Ito T.,Evans D.,Hard
De Bakker T.,Pouille L.,Coric B.,Pouille L.,Hard
De Minaur A.,De Minaur A.,Popyrin A.,De Minaur A.,Hard
Del Potro J.M.,Thompson J.,Daniel T.,Thompson J.,Hard
Delbonis F.,Carreno Busta P.,Ferrer D.,Carreno Busta P.,Hard
Dellien H.,Fucsovics M.,Millman J.,Millman J.,Hard
Diez S.,Troicki V.,Carballes Baena R.,Troicki V.,Hard
Dimitrov G.,Nishioka Y.,Dimitrov G.,Dimitrov G.,Hard
Djere L.,Djokovic N.,Dzumhur D.,Djokovic N.,Hard
Djokovic N.,Jarry N.,Haase R.,Jarry N.,Hard
Djokovic N. ,Popyrin A.,Zverev M.,Popyrin A.,Hard
Domingues J.,Molleker R.,Schwartzman D.,Schwartzman D.,Hard
Donaldson J.,Eubanks C.,Basilashvili N.,Basilashvili N.,Hard
Donskoy E.,Seppi A.,Rublev A.,Rublev A.,Hard
Dubrivnyy A.,Bedene A.,Cuevas P.,Cuevas P.,Clay
Duckworth J.,Troicki V.,Tsitsipas S.,Tsitsipas S.,Hard
Dutra Silva R.,Chung H.,Herbert P.H.,Herbert P.H.,Hard
Dzumhur D.,Chardy J.,Seppi A.,Seppi A.,Hard
Ebden M.,Darcis S.,Jaziri M.,Darcis S.,Hard
Edmund K.,Albot R.,Mmoh M.,Albot R.,Hard
Ehrat S.,Cachin P.,Norrie C.,Cachin P.,Clay
Escobedo E.,Fognini F.,Bedene A.,Bedene A.,Clay
Eubanks C.,Mannarino A.,Thompson J.,Thompson J.,Hard
Evans D.,Munar J.,Bolelli S.,Munar J.,Hard
Fabbiano T.,Anderson K.,Djere L.,Anderson K.,Hard
Federer R.,Darcis S.,Karlovic I.,Karlovic I.,Hard
Federer R. ,Kyrgios N.,Raonic M.,Raonic M.,Hard
Ferrer D.,Herbert P.H.,Berdych T.,Berdych T.,Hard
Fognini F.,Berdych T.,Bautista Agut R.,Bautista Agut R.,Hard
Fratangelo B.,De Minaur A.,Seppi A.,De Minaur A.,Hard
Fritz T.,Wawrinka S.,Jarry N.,Wawrinka S.,Hard
Fucsovics M.,Bautista Agut R.,Berrettini M.,Bautista Agut R.,Hard
Gaio F.,Berdych T.,Schwartzman D.,Berdych T.,Hard
Galan D.E.,Tsitsipas S.,Berrettini M.,Tsitsipas S.,Hard
Galovic V.,Carreno Busta P.,Nishikori K.,Nishikori K.,Hard
Garcia-Lopez G.,Medvedev D.,Tsonga J.W.,Medvedev D.,Hard
Garin C.,Struff J.L.,Norrie C.,Norrie C.,Hard
Gasquet R.,Khachanov K.,Gojowczyk P.,Khachanov K.,Hard
Gaston H.,Herbert P.H.,Kudla D.,Herbert P.H.,Hard
Gerasimov E.,De Minaur A.,Thompson J.,De Minaur A.,Hard
Giannessi A.,Mayer L.,Berrettini M.,Mayer L.,Hard
Giraldo S.,Dimitrov G.,Tipsarevic J.,Dimitrov G.,Hard
Giron M.,Simon G.,De Minaur A.,De Minaur A.,Hard
Giustino L.,Darcis S.,Hoang A.,Hoang A.,Hard
Goffin D.,Norrie C.,Paire B.,Norrie C.,Hard
Gojowczyk P.,Cecchinato M.,Lajovic D.,Cecchinato M.,Hard
Gombos N.,Djere L.,Donskoy E.,Donskoy E.,Hard
Gomez L.,Munar J.,Andreozzi G.,Munar J.,Clay
Granollers M.,Struff J.L.,Statham J.,Struff J.L.,Hard
Gray A.,Djokovic N.,Nadal R.,Djokovic N.,Hard
Griekspoor T.,Harrison R.,Nishioka Y.,Nishioka Y.,Hard
Gromley C.,Marterer M.,Bedene A.,Bedene A.,Clay
Gulbis E.,Goffin D.,Berankis R.,Berankis R.,Hard
Gunneswaran P.,Anderson K.,Mannarino A.,Anderson K.,Hard
Haase R.,Donskoy E.,Karlovic I.,Karlovic I.,Hard
Halys Q.,Bolt A.,Zverev A.,Zverev A.,Hard
Hanfmann Y.,Bautista Agut R.,Cilic M.,Bautista Agut R.,Hard
Harris A.,Tsonga J.W.,Humbert U.,Tsonga J.W.,Hard
